sample_id,source_bundle,derived_bundle,sha256,height,width,token_size,v12_matches_source,safety_weight_map_status,native_gate_status
SCN_gar_0065,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_gar_0065.npz,derived_scene_sidecars/SCN_gar_0065_derived.npz,65f2b9dac19655f15d483aae929aa49690cd635e8c02a5a17060e14c8b1aaa10,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_gar_0066,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_gar_0066.npz,derived_scene_sidecars/SCN_gar_0066_derived.npz,8c1633122569d3b059ffeb9234badda8a4eefe708e542247feac873b38fda3c5,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_gar_0067,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_gar_0067.npz,derived_scene_sidecars/SCN_gar_0067_derived.npz,d17be1dae7acfbc853b82d05cd7a7975074dd631e2dd1eff60368e4f6ce1a297,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_gar_0068,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_gar_0068.npz,derived_scene_sidecars/SCN_gar_0068_derived.npz,e9b989a57600f7c9d386c65662e3f90c4acd092dbb4a7018d63a781d9e3c276c,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_gar_0069,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_gar_0069.npz,derived_scene_sidecars/SCN_gar_0069_derived.npz,b4c4e11218a1f026ff789e75f5588a12f712b16d6d623ad5909bf061fbc7d7ac,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0058,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0058.npz,derived_scene_sidecars/SCN_kig_0058_derived.npz,7aafd7dd615defa97f02d9eda79f4829213f897a74c574a34b28ea1f18e5b9cf,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0059,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0059.npz,derived_scene_sidecars/SCN_kig_0059_derived.npz,a4dc9d6d34e2e6739b71ba0e9286b5c295289ef90a9687266f5ef3332d841cca,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0060,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0060.npz,derived_scene_sidecars/SCN_kig_0060_derived.npz,8c157bab98a3c6c32c39b271c2a02a31759fb09f9fbfbe92c820b01beb0b5106,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0061,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0061.npz,derived_scene_sidecars/SCN_kig_0061_derived.npz,d49396ce7dede49d2895e8b32b5b916f45496d511a815f9fcf10450fb7634e8e,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0062,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0062.npz,derived_scene_sidecars/SCN_kig_0062_derived.npz,b2a2907d2faa25473a1265cf474bd9cace12864038c195dc604cd4f9d0f72523,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0063,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0063.npz,derived_scene_sidecars/SCN_kig_0063_derived.npz,4af895ae9a1c9ce8a43481cad06bd2bcbcdd79ed4072e572eeb921c649956929,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0064,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0064.npz,derived_scene_sidecars/SCN_kig_0064_derived.npz,6bdc757ae53f0366c569d18da27fb8676c4408abbdc2bec31ccb20e77636ce74,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0065,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0065.npz,derived_scene_sidecars/SCN_kig_0065_derived.npz,bb8628bd09a682f4d4489a702822fe5eacf46f9edeb4e92b501365bed01b583a,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0066,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0066.npz,derived_scene_sidecars/SCN_kig_0066_derived.npz,aa827aa6f60bfc56201d16a7c7b1605e68853b50ace5dd211eb1220bec409e3e,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0067,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0067.npz,derived_scene_sidecars/SCN_kig_0067_derived.npz,11555d21776a84012d80dc44098940a4820a23da655521e80543e04fc4b278db,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0068,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0068.npz,derived_scene_sidecars/SCN_kig_0068_derived.npz,ab29e4bf7a6a97bf017fdd4dfc7e00ec5f699194cefc1198731ac70cb60a8739,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_kig_0069,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_kig_0069.npz,derived_scene_sidecars/SCN_kig_0069_derived.npz,6830b8bfd1f6a141266db024d9dde18777c13c4a57538187c325e348afd0c1dc,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
